;Avarage Cholesterol and Disease Risk by Age Group;;;;;;;
;Average of chol;;;Average of target;;;Total Average of chol;Total Average of target
Row Labels;0;1;(blank);0;1;(blank);;
<30 or (blank);;204;;;1;;204;1
30-39;229,2;208,1842105;;0;1;;214,1320755;0,716981132
40-49;239;233,044586;;0;1;;235,0548523;0,662447257
50-59;254,5740741;241,2038835;;0;1;;248,0473934;0,488151659
60-69;253,7126437;267,8910891;;0;1;;258,92;0,367272727
70-80;264,5;234,75;;0;1;;247;0,588235294
Grand Total;251,2925852;240,9790875;;0;1;;246;0,513170732
